year,make,model,class,enginesize,fuelusecity,fuelusehwy,fueluseboth,mpgboth,co2emissions,cylinders468,cylinder4,cylinder6,cylinder8,trans2,fuel
2015,ACURA,ILX,COMPACT,2,9.69999980926514,6.69999980926514,8.30000019073486,34,191,4,1,0,0,1,2
2015,ACURA,ILX,COMPACT,2.40000009536743,10.8000001907349,7.40000009536743,9.30000019073486,30,214,4,1,0,0,2,2
2015,ACURA,ILX HYBRID,COMPACT,1.5,6,6.09999990463257,6.09999990463257,46,140,4,1,0,0,1,2
2015,ACURA,MDX SH-AWD,SUV - SMALL,3.5,12.6999998092651,9.10000038146973,11.1000003814697,25,255,6,0,1,0,1,2
2015,ACURA,RDX AWD,SUV - SMALL,3.5,12.1000003814697,8.69999980926514,10.6000003814697,27,244,6,0,1,0,1,2
2015,ACURA,RLX,MID-SIZE,3.5,11.8999996185303,7.69999980926514,10,28,230,6,0,1,0,1,2
2015,ACURA,RLX HYBRID,MID-SIZE,3.5,8,7.5,7.69999980926514,37,177,6,0,1,0,1,2
2015,ACURA,TLX,COMPACT,2.40000009536743,9.60000038146973,6.59999990463257,8.30000019073486,34,191,4,1,0,0,1,2
2015,ACURA,TLX,COMPACT,3.5,11.1999998092651,6.90000009536743,9.19999980926514,31,212,6,0,1,0,1,2
2015,ACURA,TLX SH-AWD,COMPACT,3.5,11.1999998092651,7.5,9.60000038146973,29,221,6,0,1,0,1,2
2015,ALFA ROMEO,4C,TWO-SEATER,1.79999995231628,9.69999980926514,6.90000009536743,8.39999961853027,34,193,4,1,0,0,1,2
2015,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.69999980926514,17.3999996185303,11.3000001907349,14.6999998092651,19,338,8,0,0,1,1,2
2015,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.69999980926514,18.1000003814697,12.3000001907349,15.5,18,356,8,0,0,1,2,2
2015,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.69999980926514,17.3999996185303,11.3000001907349,14.6999998092651,19,338,8,0,0,1,1,2
2015,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.69999980926514,18.1000003814697,12.3000001907349,15.5,18,356,8,0,0,1,2,2
2015,ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.69999980926514,17.3999996185303,11.3000001907349,14.6999998092651,19,338,8,0,0,1,1,2
2015,ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.69999980926514,18.1000003814697,12.3000001907349,15.5,18,356,8,0,0,1,2,2
2015,AUDI,A3,SUBCOMPACT,1.79999995231628,10,7.09999990463257,8.69999980926514,32,200,4,1,0,0,1,2
2015,AUDI,A3 QUATTRO,SUBCOMPACT,2,9.80000019073486,7.19999980926514,8.60000038146973,33,198,4,1,0,0,1,2
2015,AUDI,A3 CABRIOLET QUATTRO,SUBCOMPACT,2,10.1000003814697,7.5,8.89999961853027,32,205,4,1,0,0,1,2
2015,AUDI,A3 TDI CLEAN DIESEL,SUBCOMPACT,2,7.5,5.5,6.59999990463257,43,178,4,1,0,0,1,3
2015,AUDI,A4,COMPACT,2,9.89999961853027,7.59999990463257,8.89999961853027,32,205,4,1,0,0,1,2
2015,AUDI,A4 QUATTRO,COMPACT,2,10.8999996185303,7.19999980926514,9.19999980926514,31,212,4,1,0,0,1,2
2015,AUDI,A4 QUATTRO,COMPACT,2,10.6000003814697,7.30000019073486,9.10000038146973,31,209,4,1,0,0,2,2
