Income,hrs,agecat
17,35,"""40-49"""
18,21,"""40-49"""
18,45,"""40-49"""
15,35,"""50+"""
20,50,"""30-39"""
16,35,"""18-29"""
3,60,"""18-29"""
8,40,"""50+"""
10,37,"""30-39"""
NA,40,"""50+"""
14,38,"""50+"""
21,55,"""30-39"""
11,32,"""30-39"""
15,79,"""40-49"""
20,50,"""40-49"""
9,40,"""30-39"""
19,50,"""18-29"""
16,40,"""30-39"""
16,60,"""40-49"""
11,35,"""18-29"""
9,40,"""50+"""
17,40,"""30-39"""
12,40,"""30-39"""
13,79,"""50+"""
20,40,"""40-49"""
18,60,"""30-39"""
17,40,"""18-29"""
18,40,"""30-39"""
18,20,"""40-49"""
19,40,"""30-39"""
19,20,"""40-49"""
16,40,"""30-39"""
4,62,"""18-29"""
6,20,"""30-39"""
16,50,"""40-49"""
11,40,"""30-39"""
13,40,"""40-49"""
13,40,"""30-39"""
17,50,"""30-39"""
17,22,"""40-49"""
21,50,"""40-49"""
15,60,"""18-29"""
17,55,"""18-29"""
4,35,"""18-29"""
14,56,"""30-39"""
12,40,"""18-29"""
16,50,"""30-39"""
18,54,"""30-39"""
17,32,"""40-49"""
12,55,"""50+"""
21,55,"""40-49"""
18,50,"""40-49"""
15,38,"""50+"""
21,50,"""40-49"""
17,45,"""30-39"""
20,50,"""40-49"""
15,79,"""18-29"""
16,56,"""18-29"""
18,50,"""40-49"""
15,55,"""18-29"""
10,55,"""18-29"""
21,40,"""50+"""
21,60,"""50+"""
21,40,"""50+"""
20,50,"""30-39"""
16,40,"""50+"""
14,50,"""40-49"""
NA,40,NA
21,50,"""50+"""
NA,79,"""40-49"""
15,55,"""18-29"""
16,40,"""40-49"""
20,65,"""50+"""
19,40,"""30-39"""
17,55,"""40-49"""
19,55,"""40-49"""
16,60,"""50+"""
21,67,"""50+"""
19,75,"""30-39"""
17,40,"""30-39"""
14,50,"""30-39"""
NA,60,"""30-39"""
18,45,"""30-39"""
NA,50,"""40-49"""
19,40,"""50+"""
21,40,"""50+"""
18,40,"""50+"""
8,51,"""30-39"""
21,65,"""40-49"""
3,42,"""40-49"""
20,40,"""30-39"""
14,40,"""30-39"""
16,50,"""40-49"""
16,60,"""18-29"""
15,40,"""50+"""
17,40,"""30-39"""
14,40,"""50+"""
9,40,"""50+"""
18,40,"""30-39"""
17,40,"""30-39"""
13,38,"""40-49"""
9,46,"""30-39"""
11,40,"""40-49"""
20,50,"""50+"""
18,40,"""50+"""
10,40,"""50+"""
17,40,"""30-39"""
21,60,"""30-39"""
16,40,"""40-49"""
11,40,"""50+"""
17,50,"""50+"""
4,40,"""40-49"""
11,32,"""30-39"""
8,40,"""50+"""
15,40,"""30-39"""
19,40,"""50+"""
18,40,"""50+"""
15,40,"""50+"""
20,52,"""40-49"""
15,40,"""50+"""
NA,35,"""50+"""
NA,17,"""50+"""
NA,55,"""30-39"""
15,55,"""40-49"""
14,60,"""30-39"""
16,48,"""30-39"""
17,79,"""40-49"""
16,60,"""18-29"""
15,40,"""18-29"""
19,65,"""50+"""
16,40,"""18-29"""
13,40,"""30-39"""
15,46,"""50+"""
10,40,"""40-49"""
11,40,"""18-29"""
21,40,"""40-49"""
20,40,"""40-49"""
18,50,"""30-39"""
17,40,"""50+"""
18,40,"""40-49"""
NA,40,"""40-49"""
14,40,"""30-39"""
13,59,"""50+"""
13,40,"""50+"""
15,44,"""18-29"""
15,45,"""40-49"""
17,40,"""40-49"""
13,40,"""40-49"""
9,40,"""40-49"""
15,45,"""30-39"""
10,79,"""30-39"""
9,40,"""40-49"""
10,40,"""18-29"""
15,44,"""40-49"""
18,50,"""40-49"""
17,60,"""40-49"""
20,56,"""30-39"""
9,41,"""30-39"""
18,40,"""30-39"""
NA,46,"""50+"""
16,40,"""40-49"""
20,45,"""30-39"""
15,52,"""18-29"""
11,42,"""40-49"""
11,30,"""18-29"""
18,44,"""30-39"""
NA,53,"""40-49"""
16,46,"""40-49"""
15,40,"""40-49"""
20,65,"""40-49"""
17,40,"""40-49"""
17,55,"""50+"""
7,40,"""18-29"""
12,49,"""30-39"""
16,40,"""40-49"""
16,40,"""50+"""
15,40,"""30-39"""
11,65,"""18-29"""
NA,42,"""40-49"""
15,50,"""30-39"""
19,42,"""40-49"""
18,40,"""50+"""
4,30,"""18-29"""
NA,40,"""40-49"""
16,50,"""30-39"""
15,55,"""40-49"""
8,48,"""18-29"""
11,55,"""50+"""
18,40,"""40-49"""
21,56,"""40-49"""
18,50,"""40-49"""
19,60,"""30-39"""
16,45,"""50+"""
13,48,"""18-29"""
18,40,"""40-49"""
NA,38,"""40-49"""
13,48,"""30-39"""
11,40,"""18-29"""
16,40,"""50+"""
12,56,"""40-49"""
6,35,"""30-39"""
14,40,"""40-49"""
13,40,"""30-39"""
14,40,"""30-39"""
15,52,"""40-49"""
NA,48,"""18-29"""
11,50,"""18-29"""
NA,50,"""50+"""
NA,50,"""30-39"""
21,65,"""30-39"""
17,60,"""50+"""
9,40,"""50+"""
10,44,"""40-49"""
NA,40,"""50+"""
9,35,"""50+"""
NA,50,"""30-39"""
18,40,"""30-39"""
11,40,"""50+"""
11,45,"""40-49"""
4,42,"""18-29"""
8,40,"""30-39"""
3,20,"""50+"""
16,40,"""50+"""
11,40,"""18-29"""
17,42,"""30-39"""
NA,36,"""18-29"""
7,35,"""40-49"""
12,47,"""30-39"""
8,40,"""50+"""
14,40,"""30-39"""
18,60,"""40-49"""
15,40,"""50+"""
11,40,"""18-29"""
11,60,"""30-39"""
19,48,"""40-49"""
18,55,"""40-49"""
15,40,"""18-29"""
16,60,"""40-49"""
12,50,"""30-39"""
16,36,"""30-39"""
11,40,"""30-39"""
9,35,"""50+"""
21,45,"""40-49"""
21,60,"""50+"""
10,38,"""50+"""
12,40,"""18-29"""
21,45,"""50+"""
16,40,"""40-49"""
17,45,"""40-49"""
NA,60,"""30-39"""
16,50,"""50+"""
12,40,"""30-39"""
18,60,"""18-29"""
11,45,"""30-39"""
16,40,"""30-39"""
14,36,"""50+"""
9,40,"""50+"""
8,40,"""30-39"""
16,55,"""30-39"""
5,39,"""18-29"""
16,45,"""40-49"""
15,35,"""30-39"""
NA,40,"""50+"""
17,36,"""40-49"""
19,40,"""50+"""
14,42,"""18-29"""
2,57,"""18-29"""
19,50,"""30-39"""
12,40,"""40-49"""
14,25,"""40-49"""
13,44,"""30-39"""
2,40,"""30-39"""
9,40,"""30-39"""
8,40,"""30-39"""
16,40,"""50+"""
18,40,"""30-39"""
17,40,"""50+"""
11,45,"""50+"""
16,50,"""30-39"""
19,40,"""50+"""
12,65,"""40-49"""
11,42,"""18-29"""
11,44,"""50+"""
11,38,"""18-29"""
17,40,"""40-49"""
11,37,"""18-29"""
14,45,"""40-49"""
11,70,"""40-49"""
14,45,"""30-39"""
16,50,"""30-39"""
5,39,"""18-29"""
14,42,"""30-39"""
13,40,"""50+"""
11,60,"""40-49"""
14,40,"""18-29"""
NA,52,"""50+"""
9,32,"""30-39"""
14,46,"""40-49"""
14,70,"""40-49"""
19,50,"""40-49"""
15,60,"""40-49"""
8,70,"""18-29"""
12,79,"""30-39"""
16,50,"""40-49"""
NA,55,"""30-39"""
16,50,"""50+"""
16,60,"""40-49"""
NA,40,"""40-49"""
3,36,"""40-49"""
NA,50,"""30-39"""
13,58,"""30-39"""
10,38,"""50+"""
NA,40,NA
NA,37,"""50+"""
15,55,"""18-29"""
13,40,"""30-39"""
16,60,"""50+"""
14,60,"""40-49"""
18,48,"""50+"""
5,40,"""18-29"""
11,45,"""40-49"""
10,44,"""30-39"""
2,20,"""18-29"""
10,70,"""18-29"""
11,60,"""40-49"""
15,65,"""30-39"""
7,38,"""50+"""
15,40,"""40-49"""
NA,40,"""40-49"""
14,44,"""18-29"""
17,46,"""40-49"""
12,42,"""40-49"""
12,24,"""40-49"""
12,40,"""40-49"""
12,44,"""18-29"""
10,52,"""50+"""
9,44,"""50+"""
16,45,"""40-49"""
11,40,"""30-39"""
9,50,"""50+"""
NA,40,"""50+"""
NA,40,"""30-39"""
NA,40,"""30-39"""
21,36,"""50+"""
13,17,"""30-39"""
NA,43,"""40-49"""
11,45,"""18-29"""
9,55,"""30-39"""
10,75,"""30-39"""
14,56,"""18-29"""
13,79,"""18-29"""
9,40,"""30-39"""
18,55,"""40-49"""
14,75,"""40-49"""
17,50,"""30-39"""
15,44,"""30-39"""
13,61,"""40-49"""
NA,40,"""40-49"""
8,40,"""40-49"""
16,40,"""30-39"""
14,53,"""30-39"""
19,40,"""50+"""
NA,68,"""30-39"""
7,35,"""18-29"""
18,70,"""40-49"""
15,40,"""30-39"""
17,45,"""40-49"""
11,48,"""30-39"""
12,50,"""40-49"""
16,45,"""30-39"""
3,40,"""18-29"""
14,60,"""30-39"""
18,60,"""50+"""
15,40,"""30-39"""
14,28,"""50+"""
20,60,"""30-39"""
NA,40,"""40-49"""
21,40,"""40-49"""
21,79,NA
21,79,"""40-49"""
21,60,"""30-39"""
18,40,"""30-39"""
15,28,"""30-39"""
21,65,"""40-49"""
NA,40,"""30-39"""
19,35,"""50+"""
15,45,"""18-29"""
21,60,"""30-39"""
21,70,"""50+"""
16,35,"""50+"""
15,50,"""50+"""
19,70,"""30-39"""
11,40,"""18-29"""
11,40,"""18-29"""
18,45,"""40-49"""
15,50,"""40-49"""
18,79,"""30-39"""
16,60,"""30-39"""
19,50,"""40-49"""
20,50,"""30-39"""
18,35,"""50+"""
17,45,"""50+"""
NA,60,"""30-39"""
13,40,"""30-39"""
13,40,"""30-39"""
12,40,"""40-49"""
17,46,"""40-49"""
19,60,"""40-49"""
NA,55,"""30-39"""
18,79,"""50+"""
15,40,"""18-29"""
19,50,"""18-29"""
16,40,"""40-49"""
17,55,"""40-49"""
19,41,"""40-49"""
16,40,"""50+"""
19,45,"""30-39"""
14,48,"""18-29"""
NA,38,"""30-39"""
19,40,"""40-49"""
11,40,"""50+"""
20,70,"""30-39"""
19,45,"""18-29"""
15,40,"""30-39"""
20,45,"""30-39"""
NA,55,"""18-29"""
4,60,"""40-49"""
4,35,"""30-39"""
16,60,"""40-49"""
15,65,"""40-49"""
15,50,"""50+"""
15,40,"""40-49"""
17,50,"""30-39"""
17,40,"""40-49"""
15,50,"""50+"""
14,40,"""40-49"""
21,40,"""40-49"""
19,40,"""50+"""
13,40,"""30-39"""
14,48,"""40-49"""
11,40,"""30-39"""
8,40,"""40-49"""
14,45,"""30-39"""
16,50,"""30-39"""
20,55,"""40-49"""
15,40,"""50+"""
16,37,"""30-39"""
14,57,"""30-39"""
15,79,"""40-49"""
14,52,"""18-29"""
21,75,"""40-49"""
16,40,"""18-29"""
18,60,"""30-39"""
14,55,"""30-39"""
11,40,"""40-49"""
NA,40,"""30-39"""
19,46,"""30-39"""
16,79,"""30-39"""
17,43,"""18-29"""
15,40,"""18-29"""
15,35,"""30-39"""
13,40,"""50+"""
21,70,"""50+"""
9,58,"""18-29"""
10,40,"""18-29"""
16,40,"""30-39"""
21,65,"""30-39"""
NA,40,"""30-39"""
9,40,"""30-39"""
12,40,"""30-39"""
21,60,"""50+"""
19,60,"""50+"""
NA,45,"""50+"""
11,40,"""40-49"""
12,37,"""30-39"""
21,70,"""40-49"""
21,79,"""40-49"""
3,35,"""30-39"""
21,60,"""50+"""
5,50,"""18-29"""
18,40,"""30-39"""
8,30,"""50+"""
11,44,"""40-49"""
17,32,"""18-29"""
15,47,"""50+"""
12,55,"""18-29"""
11,55,"""18-29"""
9,60,"""30-39"""
13,66,"""30-39"""
10,40,"""18-29"""
13,40,"""30-39"""
15,25,"""40-49"""
